career_title,source,selection,esco_id,isco_group,isco_group_name,essential_skills,optional_skills,has_skill_data,alt_labels,description
database designer,esco,core_ict,key_16898,2521,Database designers and administrators,27,74,yes,data model designer; data architect; database designer; data base designer; database designers; data base designers; database architect; database design engineer,"Database designers specify the database's logical structure, processes, and information flows. They design data models and databases to serve data acquisition."
database developer,esco,core_ict,key_17294,2521,Database designers and administrators,20,95,yes,database programmer; database development engineer; database design specialist; database coder; database developer; data base developer; database developers; data base developers,"Database developers program, implement and coordinate changes to computer databases based on their expertise of database management systems."
database integrator,esco,core_ict,key_15915,2521,Database designers and administrators,16,46,yes,data integrator; database development specialist; database integrator; database integrators; data base integrators; data base integrator,Database integrators perform integration among different databases. They maintain integration and ensure interoperability.
3D printing technician,esco,adjacent_tech,key_16100,3118,Draughtspersons,18,19,yes,3D printing operator; printing machine technician; 3D print service technician; printer repairman; 3D printing repairer; 3D printing technician; 3D printing repairman; print service technician,"3D printing technicians assist in the designing and programming of products, ranging from prosthetic products to 3D miniatures. They may also provide 3D printing maintenance, check 3D renders for customers and run 3D printing tests. 3D printing technicians can also repair, maintain and clean 3D printers."
computer hardware engineering technician,esco,adjacent_tech,key_15859,3114,Electronics engineering technicians,23,60,yes,IT engineering technician; computer hardware engineering technician; technician in IT hardware; computer hardware technician; PC hardware engineering technician; PC hardware technician; IT hardware engineering technician; computer engineering technician,"Computer hardware engineering technicians collaborate with computer hardware engineers in the development of computer hardware, such as motherboards, routers, and microprocessors. Computer hardware engineering technicians are responsible for building, testing, monitoring, and maintaining the developed computer technology."
computer hardware test technician,esco,adjacent_tech,key_17466,3114,Electronics engineering technicians,24,21,yes,computer hardware testing technician; hardware tester; computer hardware inspector; inspection technician in computer hardware; computer hardware inspection technician; computer hardware tester; computer hardware test technician; inspector of computer hardware,"Computer hardware test technicians conduct testing of computer hardware such as circuit boards, computer chips, computer systems, and other electronic and electrical components. They analyse the hardware configuration and test the hardware reliability and conformance to specifications."
computer hardware engineer,esco,adjacent_tech,key_16936,2152,Electronics engineers,62,69,yes,engineer in computer hardware and network; computer hardware engineering consultant; IT hardware specialist; engineer of PC hardware; computer hardware engineering adviser; computer hardware technology engineering consultant; computer hardware technology engineering adviser; IT hardware engineer,"Computer hardware engineers design and develop computer hardware systems and components, such as circuit boards, modems, and printers. They draught blueprints and assembly drawings, develop and test the prototypes, and supervise the production process."
electronics engineer,esco,adjacent_tech,key_16103,2152,Electronics engineers,25,29,yes,electronic technology engineering consultant; electro engineer; electronics engineering expert; electronics engineering consultant; electronics engineering specialist; electronic technology engineer; electronic technology engineering expert; electronics engineering adviser,"Electronic engineers research, design, and develop electronic systems such as circuits, semiconductor devices, and equipment that use electricity as a source of power. They work with capacitators, transistors, diodes or resistors to create electronic circuits and applications of use in fields such as telecommunications, acoustics, instruments, and control."
power electronics engineer,esco,adjacent_tech,key_16718,2152,Electronics engineers,37,31,yes,power electronics technology engineer; engineer of power electronics; power electronics engineering specialist; power electronics engineering expert; power electronics engineering consultant; power electronics design engineer; power electronics testing engineer,Power electronics engineers design and test circuits for use in power electronics systems. They find solutions for known flaws in mechanical designs and collaborate with other engineers to perform cross-functional tasks when testing designs.
robotics engineer,esco,adjacent_tech,key_16198,2149,Engineering professionals not elsewhere classified,15,34,yes,robotic engineer; robotics engineering consultant; engineer of robotics; robotics engineering specialist; autonomous systems engineer; robotics engineer; engineer in robotics; robotic technology engineering specialist,"Robotics engineers design and develop robotic devices and applications in combination with mechanical engineering principles. They use pre-established designs and current developments for improving or inventing systems, machinery and equipment. They combine several knowledge fields such as computing, engineering, and electronics in the development of new engineering applications."
