career_title,skill_id,skill_name,relation_type
digital forensics expert,gather-data-for-forensic-purposes,gather data for forensic purposes,essential
digital forensics expert,provide-ict-consulting-advice,provide ICT consulting advice,essential
digital forensics expert,perform-forensic-preservations-of-digital-devices,perform forensic preservations of digital devices,essential
digital forensics expert,develop-information-security-strategy,develop information security strategy,essential
digital forensics expert,use-software-for-data-preservation,use software for data preservation,essential
digital forensics expert,use-scripting-programming,use scripting programming,essential
digital forensics expert,educate-on-data-confidentiality,educate on data confidentiality,essential
digital forensics expert,apply-reverse-engineering,apply reverse engineering,essential
digital forensics expert,manage-data-for-legal-matters,manage data for legal matters,essential
digital forensics expert,implement-ict-network-diagnostic-tools,implement ICT network diagnostic tools,essential
digital forensics expert,identify-ict-system-weaknesses,identify ICT system weaknesses,essential
digital forensics expert,secure-sensitive-customer-s-information,secure sensitive customer's information,essential
digital forensics expert,perform-ict-security-testing,perform ICT security testing,essential
digital forensics expert,identify-ict-security-risks,identify ICT security risks,essential
digital forensics expert,maltego,Maltego,optional
digital forensics expert,cain-and-abel-penetration-testing-tool,Cain and Abel (penetration testing tool),optional
digital forensics expert,hardware-platforms,hardware platforms,optional
digital forensics expert,information-security-strategy,information security strategy,optional
digital forensics expert,mdx,MDX,optional
digital forensics expert,information-architecture,information architecture,optional
digital forensics expert,owasp-zap,OWASP ZAP,optional
digital forensics expert,nessus,Nessus,optional
digital forensics expert,xquery,XQuery,optional
digital forensics expert,metasploit,Metasploit,optional
digital forensics expert,aircrack-penetration-testing-tool,Aircrack (penetration testing tool),optional
digital forensics expert,backbox-penetration-testing-tool,Backbox (penetration testing tool),optional
digital forensics expert,sparql,SPARQL,optional
digital forensics expert,kali-linux,Kali Linux,optional
digital forensics expert,ict-security-legislation,ICT security legislation,optional
digital forensics expert,john-the-ripper-penetration-testing-tool,John The Ripper (penetration testing tool),optional
digital forensics expert,blackarch,BlackArch,optional
digital forensics expert,wireshark,Wireshark,optional
digital forensics expert,ldap,LDAP,optional
digital forensics expert,data-storage,data storage,optional
digital forensics expert,legal-requirements-of-ict-products,legal requirements of ICT products,optional
digital forensics expert,parrot-security-os,Parrot Security OS,optional
digital forensics expert,samurai-web-testing-framework,Samurai Web Testing Framework,optional
digital forensics expert,cloud-technologies,cloud technologies,optional
digital forensics expert,linq,LINQ,optional
digital forensics expert,ict-encryption,ICT encryption,optional
digital forensics expert,hardware-architectures,hardware architectures,optional
digital forensics expert,whitehat-sentinel,WhiteHat Sentinel,optional
digital forensics expert,nexpose,Nexpose,optional
digital forensics expert,thc-hydra,THC Hydra,optional
digital forensics expert,n1ql,N1QL,optional
digital forensics expert,implement-ict-safety-policies,implement ICT safety policies,optional
digital forensics expert,design-computer-network,design computer network,optional
digital forensics expert,use-different-communication-channels,use different communication channels,optional
digital forensics expert,perform-data-mining,perform data mining,optional
digital forensics expert,analyse-network-configuration-and-performance,analyse network configuration and performance,optional
digital forensics expert,manage-cloud-data-and-storage,manage cloud data and storage,optional
digital forensics expert,collect-cyber-defence-data,collect cyber defence data,optional
ICT security engineer,information-security-strategy,information security strategy,essential
ICT security engineer,information-architecture,information architecture,essential
ICT security engineer,ict-security-standards,ICT security standards,essential
ICT security engineer,emergent-technologies,emergent technologies,essential
ICT security engineer,attack-vectors,attack vectors,essential
ICT security engineer,cyber-attack-counter-measures,cyber attack counter-measures,essential
ICT security engineer,business-analysis,business analysis,essential
ICT security engineer,risk-management,risk management,essential
ICT security engineer,ict-security-legislation,ICT security legislation,essential
ICT security engineer,organisational-resilience,organisational resilience,essential
ICT security engineer,cyber-security,cyber security,essential
ICT security engineer,unstructured-data,unstructured data,essential
ICT security engineer,operating-systems,operating systems,essential
ICT security engineer,manage-it-security-compliances,manage IT security compliances,essential
ICT security engineer,perform-risk-analysis,perform risk analysis,essential
ICT security engineer,keep-up-with-the-latest-information-systems-solutions,keep up with the latest information systems solutions,essential
ICT security engineer,provide-ict-consulting-advice,provide ICT consulting advice,essential
ICT security engineer,perform-data-analysis,perform data analysis,essential
ICT security engineer,troubleshoot,troubleshoot,essential
ICT security engineer,develop-information-security-strategy,develop information security strategy,essential
ICT security engineer,define-security-policies,define security policies,essential
ICT security engineer,keep-task-records,keep task records,essential
ICT security engineer,define-data-quality-criteria,define data quality criteria,essential
ICT security engineer,report-test-findings,report test findings,essential
ICT security engineer,manage-disaster-recovery-plans,manage disaster recovery plans,essential
ICT security engineer,ensure-information-security,ensure information security,essential
ICT security engineer,implement-ict-risk-management,implement ICT risk management,essential
ICT security engineer,educate-on-data-confidentiality,educate on data confidentiality,essential
ICT security engineer,analyse-ict-system,analyse ICT system,essential
ICT security engineer,execute-ict-audits,execute ICT audits,essential
ICT security engineer,execute-software-tests,execute software tests,essential
ICT security engineer,monitor-system-performance,monitor system performance,essential
ICT security engineer,define-technical-requirements,define technical requirements,essential
ICT security engineer,identify-ict-system-weaknesses,identify ICT system weaknesses,essential
ICT security engineer,verify-formal-ict-specifications,verify formal ICT specifications,essential
ICT security engineer,identify-ict-security-risks,identify ICT security risks,essential
ICT security engineer,business-intelligence,business intelligence,optional
ICT security engineer,cloud-security-and-compliance,cloud security and compliance,optional
ICT security engineer,embedded-systems,embedded systems,optional
